ID,Identifier,Title,Type,Creator,Creation_Date,Image_URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
AK-MAK-134,http://hdl.handle.net/10934/RM0001.COLLECT.1653,Helm van ijzer met zilver ingelegd,helm,anonymous,1600,https://lh3.googleusercontent.com/3koF6ZYKNzFKF7ze83nIXNJ7L5yx_IPIfTFuiVEMLNNgEOssSat5fb1GGBcTzGIYHc56qMtyQo9fk-G0qFX1mkCp72s1=s0,,,,
AK-MAK-1340,http://hdl.handle.net/10934/RM0001.COLLECT.2035,Haak,haak,anonymous,1300,,,,,
AK-MAK-1341,http://hdl.handle.net/10934/RM0001.COLLECT.47487,Voorbeelden voor arabesk patronen,boek,Takisawa Kiyoshi,1884,,,,,
AK-MAK-1342,http://hdl.handle.net/10934/RM0001.COLLECT.1733,Anthologie van pioenrozen,boek,Utagawa,1830,https://lh3.ggpht.com/7KOnsBP4_LK6GKowCNEYhLshpM5DSoYYtokGmnod_eHeUopHoZj9HzlYSWzx9jF_fKwxUOVSp1kCvkj3b9VBVdIDXEA=s0,,,,
AK-MAK-1343A,http://hdl.handle.net/10934/RM0001.COLLECT.1734,Beroemde blikken op de Oostelijke hoofdstad,boek,"Hokusai, Katsushika",1800,https://lh5.ggpht.com/-y7hqk1IsnLVAFrdBApQ3ehpshqK83yidNv-Z34EwE0etexnro1XlmGvxyv-4Rc6jovBJM9M0ICnb7bxAfFLIgjSJyw=s0,,,,
AK-MAK-1343B,http://hdl.handle.net/10934/RM0001.COLLECT.1735,Beroemde blikken op de Oostelijke hoofdstad,boek,"Hokusai, Katsushika",1815,https://lh4.ggpht.com/S1cSHClS7pmFiwMRpQnFE_Os051ZiiXQ8BAMhujkglEruvmeEKRuRGKp_utMNFKBU5umpNvKTjswclDmIhdqFp0IRQ=s0,,,,
AK-MAK-1344,http://hdl.handle.net/10934/RM0001.COLLECT.1736,Acht gezichten op de provincie Omi door Hiroshige,boek,"Hiroshige (I), Utagawa",1825,https://lh3.ggpht.com/2u1_lpR8hVTNkrSv8NHMiWHAgVOHEbl28EfnRbO8GdS4c-f8Fi5pKwqN92PtUcAYqT-dhFjpY1MIruSJna_RY4kVWUvZ=s0,,,,
AK-MAK-1345,http://hdl.handle.net/10934/RM0001.COLLECT.1737,Kabuki programma,boek,"Ky̫sai, Kawanabe",1930-09,https://lh3.ggpht.com/kb_BLbF6Q_lPBGnTRBCLllLemn1ZGA2KCk9O4YsJGxQ2v2CCRrSCsypa3rxcFNbligus_DVPhE8zrkUSEBvdXAcLV8Gm=s0,,,,
AK-MAK-1346,http://hdl.handle.net/10934/RM0001.COLLECT.1738,Schetsen van vele handwerken,boek,"Taito II, Katsushika",1850,https://lh4.ggpht.com/n7lcqWsMtSIt_6utNI64Ar37Tq32GmnHDDNsKTJA2MFC7CdPoIAu3fMbOTWsturaUXaCcy37kR10wOxuC3psXT65FkI=s0,,,,
AK-MAK-1347A,http://hdl.handle.net/10934/RM0001.COLLECT.1739,Schetsboek van Hokusai,boek,"Hokusai, Katsushika",1819,https://lh4.ggpht.com/Np8nkbsLDIZG0vtHXRXYLY6jE5TJg20-ZffdOEycxsJ0WkL4WQuo2patTcweQyIXDekwFV7QS9gfrOLt9OFywftHO2ac=s0,,,,
